300407,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300407,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Sub.Suelo T/Térmico
4668065,G-21,AFFF,BC,10 Lts,11/2020,11/2020,4668065,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Col. A1 / 09
300559,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300559,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. D /  05
300336,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300336,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. E /  05
300043,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300043,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. C / 05
468734,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468734,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. E /  02
300374,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300374,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Col. B/ 05
468738,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468738,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Col. A1 / 05
468426,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468426,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. E / 14
468133,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468133,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
300374,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300374,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Col. B/ 05
468738,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468738,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Col. A1 / 05
468426,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468426,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. E / 14
468133,G-21,AFFF,BC,10 Lts,11/2020,11/2020,468133,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
300384,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300384,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
300575,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300575,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. D / 09
300021,G-21,AFFF,BC,10 Lts,11/2020,11/2020,300021,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. D / 11
468768,G-21,AFFF,BC,10 Lts,3/2021,3/2022,468768,2018,Melisam,Cassaro,En reserva,LOTE 95,Unidad de Tratamientos Térmicos,Col. B / 07
857508,F-17,CO2,AB,5 Kg,11/2020,11/2023,857508,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857936,F-17,CO2,AB,5 Kg,11/2020,11/2023,857936,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857520,F-17,CO2,AB,5 Kg,11/2020,11/2023,857520,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857550,F-17,CO2,AB,5 Kg,11/2020,11/2023,857550,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
856869,F-17,CO2,AB,5 Kg,11/2020,11/2023,856869,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855710,F-17,CO2,AB,5 Kg,11/2020,11/2023,855710,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857511,F-17,CO2,AB,5 Kg,11/2020,11/2023,857511,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857522,F-17,CO2,AB,5 Kg,11/2020,11/2023,857522,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857501,F-18,CO2,AB,5 Kg,11/2020,11/2023,857501,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855758,F-18,CO2,AB,5 Kg,11/2020,11/2023,855758,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857918,F-18,CO2,AB,5 Kg,11/2020,11/2023,857918,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857904,F-18,CO2,AB,5 Kg,11/2020,11/2023,857904,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857506,F-18,CO2,AB,5 Kg,11/2020,11/2023,857506,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857479,F-18,CO2,AB,5 Kg,11/2020,11/2023,857479,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857513,F-18,CO2,AB,5 Kg,11/2020,11/2023,857513,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857413,F-18,CO2,AB,5 Kg,11/2020,11/2023,857413,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857939,F-18,CO2,AB,5 Kg,11/2020,11/2023,857939,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857494,F-18,CO2,AB,5 Kg,11/2020,11/2023,857494,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857927,F-18,CO2,AB,5 Kg,11/2020,11/2023,857927,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857455,F-18,CO2,AB,5 Kg,11/2020,11/2023,857455,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857905,F-18,CO2,AB,5 Kg,11/2020,11/2023,857905,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857434,F-18,CO2,AB,5 Kg,11/2020,11/2023,857434,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857936,F-18,CO2,AB,5 Kg,11/2020,11/2023,857936,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857917,F-18,CO2,AB,5 Kg,11/2020,11/2023,857917,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857415,F-18,CO2,AB,5 Kg,11/2020,11/2023,857415,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855731,F-18,CO2,AB,5 Kg,11/2020,11/2023,855731,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857926,F-18,CO2,AB,5 Kg,11/2020,11/2023,857926,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855795,F-18,CO2,AB,5 Kg,11/2020,11/2023,855795,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857948,F-18,CO2,AB,5 Kg,11/2020,11/2023,857948,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855817,F-18,CO2,AB,5 Kg,11/2020,11/2023,855817,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855766,F-18,CO2,AB,5 Kg,11/2020,11/2023,855766,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855804,F-18,CO2,AB,5 Kg,11/2020,11/2023,855804,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855802,F-18,CO2,AB,5 Kg,11/2020,11/2023,855802,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857439,F-18,CO2,AB,5 Kg,11/2020,11/2023,857439,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855776,F-18,CO2,AB,5 Kg,11/2020,11/2023,855776,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855775,F-18,CO2,AB,5 Kg,11/2020,11/2023,855775,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857488,F-18,CO2,AB,5 Kg,11/2020,11/2023,857488,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
2342,E-15,CO2,AB,3.5 Kg,11/2020,11/2021,2342,2009,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
857024,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857024,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
2643,E-15,CO2,AB,3.5 Kg,11/2020,11/2024,2643,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
857142,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857142,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857131,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857131,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857078,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857078,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857121,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857121,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857083,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857083,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855648,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,855648,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857112,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857112,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
852978,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,852978,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857039,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857039,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857152,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857152,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857064,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857064,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857155,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857155,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857094,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857094,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857017,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857017,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857139,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857139,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857104,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857104,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
852952,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,852952,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857127,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857127,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
852970,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,852970,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855697,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,855697,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857120,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857120,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855643,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,855643,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857070,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857070,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857130,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857130,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
852955,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,852955,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857016,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857016,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857111,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857111,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857097,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857097,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857012,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857012,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857051,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857051,2018,Drago,Cassaro,En reserva,LOTE 95,Foresteria,Foresteria Aula
850732,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,850732,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857099,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857099,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855698,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,855698,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857132,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857132,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
852971,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,852971,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857159,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857159,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857065,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857065,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857009,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857009,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857092,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857092,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855677,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,855677,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857001,E-15,CO2,AB,3.5 Kg,11/2020,11/2023,857001,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
2390,E-15,CO2,AB,3.5 Kg,11/2020,11/2024,2390,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2105,E-15,CO2,AB,3.5 Kg,7/2021,7/2024,2105,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2743,E-15,CO2,AB,3.5 Kg,7/2021,7/2024,2743,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2040,E-15,CO2,AB,3.5 Kg,7/2021,7/2024,2040,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2317,E-15,CO2,AB,3.5 Kg,3/2021,3/2021,2317,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2259,E-15,CO2,AB,3.5 Kg,3/2021,3/2021,2259,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2231,E-15,CO2,AB,3.5 Kg,3/2021,3/2025,2231,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2019,E-15,CO2,AB,3.5 Kg,3/2021,3/2025,2019,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2659,E-15,CO2,AB,3.5 Kg,3/2021,3/2025,2659,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2671,E-15,CO2,AB,3.5 Kg,12/2020,12/2024,2671,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2043,E-15,CO2,AB,3.5 Kg,12/2020,12/2024,2043,2009,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
857135,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857135,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857102,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857102,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855669,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,855669,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
853002,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,853002,2018,Norbco,Cassaro,En reserva,#N/A,#N/A,#N/A
852975,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,852975,2018,Norbco,Cassaro,En reserva,#N/A,#N/A,#N/A
852988,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,852988,2018,Norbco,Cassaro,En reserva,#N/A,#N/A,#N/A
855691,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,855691,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857141,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857141,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
855685,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,855685,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857052,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857052,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857068,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857068,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857087,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857087,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857069,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857069,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
852980,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,852980,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857096,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857096,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857117,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857117,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857044,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857044,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857002,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857002,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
857072,E-15,CO2,AB,3.5 Kg,8/2021,8/2023,857072,2018,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
489,Y-30,POLVO,ABC,5 Kg,3/2021,3/2025,489,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
4779,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,4779,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
304,Y-30,POLVO,ABC,5 Kg,3/2021,3/2024,304,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
238,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,238,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
891,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,891,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
5026,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,5026,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2724,Y-30,POLVO,ABC,5 Kg,3/2021,3/2022,2724,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
271021,Y-30,POLVO,ABC,5 Kg,3/2021,3/2024,271021,2008,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
4450,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,4450,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
407,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,407,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
1902,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,1902,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
4596,Y-30,POLVO,ABC,5 Kg,3/2021,3/2025,4596,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
8498,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,8498,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
6748,Y-30,POLVO,ABC,5 Kg,3/2021,3/2022,6748,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
271437,Y-30,POLVO,ABC,5 Kg,3/2021,3/2022,271437,2008,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
8622,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,8622,2008,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
6247,Y-30,POLVO,ABC,5 Kg,3/2021,3/2021,6247,2008,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
196,H-25,POLVO,ABC,2.5 Kg,8/2021,8/2021,196,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
238,H-25,POLVO,ABC,2.5 Kg,8/2021,8/2021,238,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
413,H-25,POLVO,ABC,2.5 Kg,8/2021,8/2022,413,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
